SL No.,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
1,,Afghanistan,33.93911,67.709953,1/22/2020,0,0,0,0,Eastern Mediterranean
2,,Albania,41.1533,20.1683,1/22/2020,0,0,0,0,Europe
3,,Algeria,28.0339,1.6596,1/22/2020,0,0,0,0,Africa
4,,Andorra,42.5063,1.5218,1/22/2020,0,0,0,0,Europe
5,,Angola,-11.2027,17.8739,1/22/2020,0,0,0,0,Africa
6,,Antigua and Barbuda,17.0608,-61.7964,1/22/2020,0,0,0,0,Americas
7,,Argentina,-38.4161,-63.6167,1/22/2020,0,0,0,0,Americas
8,,Armenia,40.0691,45.0382,1/22/2020,0,0,0,0,Europe
9,Australian Capital Territory,Australia,-35.4735,149.0124,1/22/2020,0,0,0,0,Western Pacific
10,New South Wales,Australia,-33.8688,151.2093,1/22/2020,0,0,0,0,Western Pacific
11,Northern Territory,Australia,-12.4634,130.8456,1/22/2020,0,0,0,0,Western Pacific
12,Queensland,Australia,-27.4698,153.0251,1/22/2020,0,0,0,0,Western Pacific
13,South Australia,Australia,-34.9285,138.6007,1/22/2020,0,0,0,0,Western Pacific
14,Tasmania,Australia,-42.8821,147.3272,1/22/2020,0,0,0,0,Western Pacific
15,Victoria,Australia,-37.8136,144.9631,1/22/2020,0,0,0,0,Western Pacific
16,Western Australia,Australia,-31.9505,115.8605,1/22/2020,0,0,0,0,Western Pacific
17,,Austria,47.5162,14.5501,1/22/2020,0,0,0,0,Europe
18,,Azerbaijan,40.1431,47.5769,1/22/2020,0,0,0,0,Europe
19,,Bahamas,25.025885,-78.035889,1/22/2020,0,0,0,0,Americas
20,,Bahrain,26.0275,50.55,1/22/2020,0,0,0,0,Eastern Mediterranean
21,,Bangladesh,23.685,90.3563,1/22/2020,0,0,0,0,South-East Asia
22,,Barbados,13.1939,-59.5432,1/22/2020,0,0,0,0,Americas
23,,Belarus,53.7098,27.9534,1/22/2020,0,0,0,0,Europe
24,,Belgium,50.8333,4.469936,1/22/2020,0,0,0,0,Europe
25,,Benin,9.3077,2.3158,1/22/2020,0,0,0,0,Africa
26,,Bhutan,27.5142,90.4336,1/22/2020,0,0,0,0,South-East Asia
27,,Bolivia,-16.2902,-63.5887,1/22/2020,0,0,0,0,Americas
28,,Bosnia and Herzegovina,43.9159,17.6791,1/22/2020,0,0,0,0,Europe
29,,Brazil,-14.235,-51.9253,1/22/2020,0,0,0,0,Americas
30,,Brunei,4.5353,114.7277,1/22/2020,0,0,0,0,Western Pacific
31,,Bulgaria,42.7339,25.4858,1/22/2020,0,0,0,0,Europe
32,,Burkina Faso,12.2383,-1.5616,1/22/2020,0,0,0,0,Africa
33,,Cabo Verde,16.5388,-23.0418,1/22/2020,0,0,0,0,Africa
34,,Cambodia,11.55,104.9167,1/22/2020,0,0,0,0,Western Pacific
35,,Cameroon,3.848,11.5021,1/22/2020,0,0,0,0,Africa
36,Alberta,Canada,53.9333,-116.5765,1/22/2020,0,0,0,0,Americas
37,British Columbia,Canada,53.7267,-127.6476,1/22/2020,0,0,0,0,Americas
38,Manitoba,Canada,53.7609,-98.8139,1/22/2020,0,0,0,0,Americas
39,New Brunswick,Canada,46.5653,-66.4619,1/22/2020,0,0,0,0,Americas
40,Newfoundland and Labrador,Canada,53.1355,-57.6604,1/22/2020,0,0,0,0,Americas
41,Nova Scotia,Canada,44.682,-63.7443,1/22/2020,0,0,0,0,Americas
42,Ontario,Canada,51.2538,-85.3232,1/22/2020,0,0,0,0,Americas
43,Prince Edward Island,Canada,46.5107,-63.4168,1/22/2020,0,0,0,0,Americas
44,Quebec,Canada,52.9399,-73.5491,1/22/2020,0,0,0,0,Americas
45,Saskatchewan,Canada,52.9399,-106.4509,1/22/2020,0,0,0,0,Americas
46,,Central African Republic,6.6111,20.9394,1/22/2020,0,0,0,0,Africa
47,,Chad,15.4542,18.7322,1/22/2020,0,0,0,0,Africa
48,,Chile,-35.6751,-71.543,1/22/2020,0,0,0,0,Americas
49,Anhui,China,31.8257,117.2264,1/22/2020,1,0,0,1,Western Pacific
50,Beijing,China,40.1824,116.4142,1/22/2020,14,0,0,14,Western Pacific
51,Chongqing,China,30.0572,107.874,1/22/2020,6,0,0,6,Western Pacific
52,Fujian,China,26.0789,117.9874,1/22/2020,1,0,0,1,Western Pacific
53,Gansu,China,35.7518,104.2861,1/22/2020,0,0,0,0,Western Pacific
54,Guangdong,China,23.3417,113.4244,1/22/2020,26,0,0,26,Western Pacific
55,Guangxi,China,23.8298,108.7881,1/22/2020,2,0,0,2,Western Pacific
56,Guizhou,China,26.8154,106.8748,1/22/2020,1,0,0,1,Western Pacific
57,Hainan,China,19.1959,109.7453,1/22/2020,4,0,0,4,Western Pacific
58,Hebei,China,39.549,116.1306,1/22/2020,1,0,0,1,Western Pacific
59,Heilongjiang,China,47.862,127.7615,1/22/2020,0,0,0,0,Western Pacific
60,Henan,China,37.8957,114.9042,1/22/2020,5,0,0,5,Western Pacific
61,Hong Kong,China,22.3,114.2,1/22/2020,0,0,0,0,Western Pacific
62,Hubei,China,30.9756,112.2707,1/22/2020,444,17,28,399,Western Pacific
63,Hunan,China,27.6104,111.7088,1/22/2020,4,0,0,4,Western Pacific
64,Inner Mongolia,China,44.0935,113.9448,1/22/2020,0,0,0,0,Western Pacific
65,Jiangsu,China,32.9711,119.455,1/22/2020,1,0,0,1,Western Pacific
66,Jiangxi,China,27.614,115.7221,1/22/2020,2,0,0,2,Western Pacific
67,Jilin,China,43.6661,126.1923,1/22/2020,0,0,0,0,Western Pacific
68,Liaoning,China,41.2956,122.6085,1/22/2020,2,0,0,2,Western Pacific
69,Macau,China,22.1667,113.55,1/22/2020,1,0,0,1,Western Pacific
70,Ningxia,China,37.2692,106.1655,1/22/2020,1,0,0,1,Western Pacific
71,Qinghai,China,35.7452,95.9956,1/22/2020,0,0,0,0,Western Pacific
72,Shaanxi,China,35.1917,108.8701,1/22/2020,0,0,0,0,Western Pacific
73,Shandong,China,36.3427,118.1498,1/22/2020,2,0,0,2,Western Pacific
74,Shanghai,China,31.202,121.4491,1/22/2020,9,0,0,9,Western Pacific
75,Shanxi,China,37.5777,112.2922,1/22/2020,1,0,0,1,Western Pacific
76,Sichuan,China,30.6171,102.7103,1/22/2020,5,0,0,5,Western Pacific
77,Tianjin,China,39.3054,117.323,1/22/2020,4,0,0,4,Western Pacific
78,Tibet,China,31.6927,88.0924,1/22/2020,0,0,0,0,Western Pacific
79,Xinjiang,China,41.1129,85.2401,1/22/2020,0,0,0,0,Western Pacific
80,Yunnan,China,24.974,101.487,1/22/2020,1,0,0,1,Western Pacific
81,Zhejiang,China,29.1832,120.0934,1/22/2020,10,0,0,10,Western Pacific
82,,Colombia,4.5709,-74.2973,1/22/2020,0,0,0,0,Americas
83,,Congo (Brazzaville),-0.228,15.8277,1/22/2020,0,0,0,0,Africa
84,,Congo (Kinshasa),-4.0383,21.7587,1/22/2020,0,0,0,0,Africa
85,,Costa Rica,9.7489,-83.7534,1/22/2020,0,0,0,0,Americas
86,,Cote d'Ivoire,7.54,-5.5471,1/22/2020,0,0,0,0,Africa
87,,Croatia,45.1,15.2,1/22/2020,0,0,0,0,Europe
88,,Cuba,21.521757,-77.781167,1/22/2020,0,0,0,0,Americas
89,,Cyprus,35.1264,33.4299,1/22/2020,0,0,0,0,Europe
90,,Czechia,49.8175,15.473,1/22/2020,0,0,0,0,Europe
91,Faroe Islands,Denmark,61.8926,-6.9118,1/22/2020,0,0,0,0,Europe
92,Greenland,Greenland,71.7069,-42.6043,1/22/2020,0,0,0,0,Europe
93,,Denmark,56.2639,9.5018,1/22/2020,0,0,0,0,Europe
94,,Djibouti,11.8251,42.5903,1/22/2020,0,0,0,0,Eastern Mediterranean
95,,Dominican Republic,18.7357,-70.1627,1/22/2020,0,0,0,0,Americas
96,,Ecuador,-1.8312,-78.1834,1/22/2020,0,0,0,0,Americas
97,,Egypt,26.820553,30.802498,1/22/2020,0,0,0,0,Eastern Mediterranean
98,,El Salvador,13.7942,-88.8965,1/22/2020,0,0,0,0,Americas
99,,Equatorial Guinea,1.6508,10.2679,1/22/2020,0,0,0,0,Africa
100,,Eritrea,15.1794,39.7823,1/22/2020,0,0,0,0,Africa
101,,Estonia,58.5953,25.0136,1/22/2020,0,0,0,0,Europe
102,,Eswatini,-26.5225,31.4659,1/22/2020,0,0,0,0,Africa
103,,Ethiopia,9.145,40.4897,1/22/2020,0,0,0,0,Africa
104,,Fiji,-17.7134,178.065,1/22/2020,0,0,0,0,Western Pacific
105,,Finland,61.92411,25.748151,1/22/2020,0,0,0,0,Europe
106,French Guiana,France,3.9339,-53.1258,1/22/2020,0,0,0,0,Europe
107,French Polynesia,France,-17.6797,149.4068,1/22/2020,0,0,0,0,Europe
108,Guadeloupe,France,16.265,-61.551,1/22/2020,0,0,0,0,Europe
109,Mayotte,France,-12.8275,45.166244,1/22/2020,0,0,0,0,Europe
110,New Caledonia,France,-20.904305,165.618042,1/22/2020,0,0,0,0,Europe
111,Reunion,France,-21.1151,55.5364,1/22/2020,0,0,0,0,Europe
112,Saint Barthelemy,France,17.9,-62.8333,1/22/2020,0,0,0,0,Europe
113,St Martin,France,18.0708,-63.0501,1/22/2020,0,0,0,0,Europe
114,Martinique,France,14.6415,-61.0242,1/22/2020,0,0,0,0,Europe
115,,France,46.2276,2.2137,1/22/2020,0,0,0,0,Europe
116,,Gabon,-0.8037,11.6094,1/22/2020,0,0,0,0,Africa
117,,Gambia,13.4432,-15.3101,1/22/2020,0,0,0,0,Africa
118,,Georgia,42.3154,43.3569,1/22/2020,0,0,0,0,Europe
119,,Germany,51.165691,10.451526,1/22/2020,0,0,0,0,Europe
120,,Ghana,7.9465,-1.0232,1/22/2020,0,0,0,0,Africa
121,,Greece,39.0742,21.8243,1/22/2020,0,0,0,0,Europe
122,,Guatemala,15.7835,-90.2308,1/22/2020,0,0,0,0,Americas
123,,Guinea,9.9456,-9.6966,1/22/2020,0,0,0,0,Africa
124,,Guyana,4.860416,-58.93018,1/22/2020,0,0,0,0,Americas
125,,Haiti,18.9712,-72.2852,1/22/2020,0,0,0,0,Americas
126,,Holy See,41.9029,12.4534,1/22/2020,0,0,0,0,Europe
127,,Honduras,15.2,-86.2419,1/22/2020,0,0,0,0,Americas
128,,Hungary,47.1625,19.5033,1/22/2020,0,0,0,0,Europe
129,,Iceland,64.9631,-19.0208,1/22/2020,0,0,0,0,Europe
130,,India,20.593684,78.96288,1/22/2020,0,0,0,0,South-East Asia
131,,Indonesia,-0.7893,113.9213,1/22/2020,0,0,0,0,South-East Asia
132,,Iran,32.427908,53.688046,1/22/2020,0,0,0,0,Eastern Mediterranean
133,,Iraq,33.223191,43.679291,1/22/2020,0,0,0,0,Eastern Mediterranean
134,,Ireland,53.1424,-7.6921,1/22/2020,0,0,0,0,Europe
135,,Israel,31.046051,34.851612,1/22/2020,0,0,0,0,Europe
136,,Italy,41.87194,12.56738,1/22/2020,0,0,0,0,Europe
137,,Jamaica,18.1096,-77.2975,1/22/2020,0,0,0,0,Americas
138,,Japan,36.204824,138.252924,1/22/2020,2,0,0,2,Western Pacific
139,,Jordan,31.24,36.51,1/22/2020,0,0,0,0,Eastern Mediterranean
140,,Kazakhstan,48.0196,66.9237,1/22/2020,0,0,0,0,Europe
141,,Kenya,-0.0236,37.9062,1/22/2020,0,0,0,0,Africa
142,,South Korea,35.907757,127.766922,1/22/2020,1,0,0,1,Western Pacific
143,,Kuwait,29.31166,47.481766,1/22/2020,0,0,0,0,Eastern Mediterranean
144,,Kyrgyzstan,41.20438,74.766098,1/22/2020,0,0,0,0,Europe
145,,Latvia,56.8796,24.6032,1/22/2020,0,0,0,0,Europe
146,,Lebanon,33.8547,35.8623,1/22/2020,0,0,0,0,Eastern Mediterranean
147,,Liberia,6.428055,-9.429499,1/22/2020,0,0,0,0,Africa
148,,Liechtenstein,47.14,9.55,1/22/2020,0,0,0,0,Europe
149,,Lithuania,55.1694,23.8813,1/22/2020,0,0,0,0,Europe
150,,Luxembourg,49.8153,6.1296,1/22/2020,0,0,0,0,Europe
151,,Madagascar,-18.766947,46.869107,1/22/2020,0,0,0,0,Africa
152,,Malaysia,4.210484,101.975766,1/22/2020,0,0,0,0,Western Pacific
153,,Maldives,3.2028,73.2207,1/22/2020,0,0,0,0,South-East Asia
154,,Malta,35.9375,14.3754,1/22/2020,0,0,0,0,Europe
155,,Mauritania,21.0079,-10.9408,1/22/2020,0,0,0,0,Africa
156,,Mauritius,-20.348404,57.552152,1/22/2020,0,0,0,0,Africa
157,,Mexico,23.6345,-102.5528,1/22/2020,0,0,0,0,Americas
158,,Moldova,47.4116,28.3699,1/22/2020,0,0,0,0,Europe
159,,Monaco,43.7333,7.4167,1/22/2020,0,0,0,0,Europe
160,,Mongolia,46.8625,103.8467,1/22/2020,0,0,0,0,Western Pacific
161,,Montenegro,42.708678,19.37439,1/22/2020,0,0,0,0,Europe
162,,Morocco,31.7917,-7.0926,1/22/2020,0,0,0,0,Eastern Mediterranean
163,,Namibia,-22.9576,18.4904,1/22/2020,0,0,0,0,Africa
164,,Nepal,28.1667,84.25,1/22/2020,0,0,0,0,South-East Asia
165,Aruba,Netherlands,12.5211,-69.9683,1/22/2020,0,0,0,0,Europe
166,Curacao,Netherlands,12.1696,-68.99,1/22/2020,0,0,0,0,Europe
167,Sint Maarten,Netherlands,18.0425,-63.0548,1/22/2020,0,0,0,0,Europe
168,,Netherlands,52.1326,5.2913,1/22/2020,0,0,0,0,Europe
169,,New Zealand,-40.9006,174.886,1/22/2020,0,0,0,0,Western Pacific
170,,Nicaragua,12.865416,-85.207229,1/22/2020,0,0,0,0,Americas
171,,Niger,17.607789,8.081666,1/22/2020,0,0,0,0,Africa
172,,Nigeria,9.082,8.6753,1/22/2020,0,0,0,0,Africa
173,,North Macedonia,41.6086,21.7453,1/22/2020,0,0,0,0,Europe
174,,Norway,60.472,8.4689,1/22/2020,0,0,0,0,Europe
175,,Oman,21.512583,55.923255,1/22/2020,0,0,0,0,Eastern Mediterranean
176,,Pakistan,30.3753,69.3451,1/22/2020,0,0,0,0,Eastern Mediterranean
177,,Panama,8.538,-80.7821,1/22/2020,0,0,0,0,Americas
178,,Papua New Guinea,-6.314993,143.95555,1/22/2020,0,0,0,0,Western Pacific
179,,Paraguay,-23.4425,-58.4438,1/22/2020,0,0,0,0,Americas
180,,Peru,-9.19,-75.0152,1/22/2020,0,0,0,0,Americas
181,,Philippines,12.879721,121.774017,1/22/2020,0,0,0,0,Western Pacific
182,,Poland,51.9194,19.1451,1/22/2020,0,0,0,0,Europe
183,,Portugal,39.3999,-8.2245,1/22/2020,0,0,0,0,Europe
184,,Qatar,25.3548,51.1839,1/22/2020,0,0,0,0,Eastern Mediterranean
185,,Romania,45.9432,24.9668,1/22/2020,0,0,0,0,Europe
186,,Russia,61.52401,105.318756,1/22/2020,0,0,0,0,Europe
187,,Rwanda,-1.9403,29.8739,1/22/2020,0,0,0,0,Africa
188,,Saint Lucia,13.9094,-60.9789,1/22/2020,0,0,0,0,Americas
189,,Saint Vincent and the Grenadines,12.9843,-61.2872,1/22/2020,0,0,0,0,Americas
190,,San Marino,43.9424,12.4578,1/22/2020,0,0,0,0,Europe
191,,Saudi Arabia,23.885942,45.079162,1/22/2020,0,0,0,0,Eastern Mediterranean
192,,Senegal,14.4974,-14.4524,1/22/2020,0,0,0,0,Africa
193,,Serbia,44.0165,21.0059,1/22/2020,0,0,0,0,Europe
194,,Seychelles,-4.6796,55.492,1/22/2020,0,0,0,0,Africa
195,,Singapore,1.2833,103.8333,1/22/2020,0,0,0,0,Western Pacific
196,,Slovakia,48.669,19.699,1/22/2020,0,0,0,0,Europe
197,,Slovenia,46.1512,14.9955,1/22/2020,0,0,0,0,Europe
198,,Somalia,5.152149,46.199616,1/22/2020,0,0,0,0,Eastern Mediterranean
199,,South Africa,-30.5595,22.9375,1/22/2020,0,0,0,0,Africa
200,,Spain,40.463667,-3.74922,1/22/2020,0,0,0,0,Europe
201,,Sri Lanka,7.873054,80.771797,1/22/2020,0,0,0,0,South-East Asia
202,,Sudan,12.8628,30.2176,1/22/2020,0,0,0,0,Eastern Mediterranean
203,,Suriname,3.9193,-56.0278,1/22/2020,0,0,0,0,Americas
204,,Sweden,60.128161,18.643501,1/22/2020,0,0,0,0,Europe
205,,Switzerland,46.8182,8.2275,1/22/2020,0,0,0,0,Europe
206,,Taiwan*,23.7,121,1/22/2020,1,0,0,1,Western Pacific
207,,Tanzania,-6.369028,34.888822,1/22/2020,0,0,0,0,Africa
208,,Thailand,15.870032,100.992541,1/22/2020,2,0,0,2,South-East Asia
209,,Togo,8.6195,0.8248,1/22/2020,0,0,0,0,Africa
210,,Trinidad and Tobago,10.6918,-61.2225,1/22/2020,0,0,0,0,Americas
211,,Tunisia,33.886917,9.537499,1/22/2020,0,0,0,0,Eastern Mediterranean
212,,Turkey,38.9637,35.2433,1/22/2020,0,0,0,0,Europe
213,,Uganda,1.373333,32.290275,1/22/2020,0,0,0,0,Africa
214,,Ukraine,48.3794,31.1656,1/22/2020,0,0,0,0,Europe
215,,United Arab Emirates,23.424076,53.847818,1/22/2020,0,0,0,0,Eastern Mediterranean
216,Bermuda,United Kingdom,32.3078,-64.7505,1/22/2020,0,0,0,0,Europe
217,Cayman Islands,United Kingdom,19.3133,-81.2546,1/22/2020,0,0,0,0,Europe
218,Channel Islands,United Kingdom,49.3723,-2.3644,1/22/2020,0,0,0,0,Europe
219,Gibraltar,United Kingdom,36.1408,-5.3536,1/22/2020,0,0,0,0,Europe
220,Isle of Man,United Kingdom,54.2361,-4.5481,1/22/2020,0,0,0,0,Europe
221,Montserrat,United Kingdom,16.742498,-62.187366,1/22/2020,0,0,0,0,Europe
222,,United Kingdom,55.3781,-3.436,1/22/2020,0,0,0,0,Europe
223,,Uruguay,-32.5228,-55.7658,1/22/2020,0,0,0,0,Americas
224,,US,40,-100,1/22/2020,1,0,0,1,Americas
225,,Uzbekistan,41.377491,64.585262,1/22/2020,0,0,0,0,Europe
226,,Venezuela,6.4238,-66.5897,1/22/2020,0,0,0,0,Americas
227,,Vietnam,14.058324,108.277199,1/22/2020,0,0,0,0,Western Pacific
228,,Zambia,-13.133897,27.849332,1/22/2020,0,0,0,0,Africa
229,,Zimbabwe,-19.015438,29.154857,1/22/2020,0,0,0,0,Africa
230,,Dominica,15.415,-61.371,1/22/2020,0,0,0,0,Americas
231,,Grenada,12.1165,-61.679,1/22/2020,0,0,0,0,Americas
232,,Mozambique,-18.665695,35.529562,1/22/2020,0,0,0,0,Africa
233,,Syria,34.802075,38.996815,1/22/2020,0,0,0,0,Eastern Mediterranean
234,,Timor-Leste,-8.874217,125.727539,1/22/2020,0,0,0,0,South-East Asia
235,,Belize,17.1899,-88.4976,1/22/2020,0,0,0,0,Americas
236,,Laos,19.85627,102.495496,1/22/2020,0,0,0,0,Western Pacific
237,,Libya,26.3351,17.228331,1/22/2020,0,0,0,0,Eastern Mediterranean
238,,West Bank and Gaza,31.9522,35.2332,1/22/2020,0,0,0,0,Eastern Mediterranean
239,,Guinea-Bissau,11.8037,-15.1804,1/22/2020,0,0,0,0,Africa
240,,Mali,17.570692,-3.996166,1/22/2020,0,0,0,0,Africa
241,,Saint Kitts and Nevis,17.357822,-62.782998,1/22/2020,0,0,0,0,Americas
242,Northwest Territories,Canada,64.8255,-124.8457,1/22/2020,0,0,0,0,Americas
243,Yukon,Canada,64.2823,-135,1/22/2020,0,0,0,0,Americas
244,,Kosovo,42.602636,20.902977,1/22/2020,0,0,0,0,Europe
245,,Burma,21.9162,95.956,1/22/2020,0,0,0,0,South-East Asia
246,Anguilla,United Kingdom,18.2206,-63.0686,1/22/2020,0,0,0,0,Europe
247,British Virgin Islands,United Kingdom,18.4207,-64.64,1/22/2020,0,0,0,0,Europe
248,Turks and Caicos Islands,United Kingdom,21.694,-71.7979,1/22/2020,0,0,0,0,Europe
249,,Botswana,-22.3285,24.6849,1/22/2020,0,0,0,0,Africa
250,,Burundi,-3.3731,29.9189,1/22/2020,0,0,0,0,Africa
251,,Sierra Leone,8.460555,-11.779889,1/22/2020,0,0,0,0,Africa
252,,Malawi,-13.2543,34.3015,1/22/2020,0,0,0,0,Africa
253,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,1/22/2020,0,0,0,0,Europe
254,Saint Pierre and Miquelon,France,46.8852,-56.3159,1/22/2020,0,0,0,0,Europe
255,,South Sudan,6.877,31.307,1/22/2020,0,0,0,0,Africa
256,,Western Sahara,24.2155,-12.8858,1/22/2020,0,0,0,0,Africa
257,,Sao Tome and Principe,0.1864,6.6131,1/22/2020,0,0,0,0,Africa
258,,Yemen,15.552727,48.516388,1/22/2020,0,0,0,0,Eastern Mediterranean
259,,Comoros,-11.6455,43.3333,1/22/2020,0,0,0,0,Africa
260,,Tajikistan,38.861,71.2761,1/22/2020,0,0,0,0,Europe
261,,Lesotho,-29.61,28.2336,1/22/2020,0,0,0,0,Africa
262,,Afghanistan,33.93911,67.709953,1/23/2020,0,0,0,0,Eastern Mediterranean
263,,Albania,41.1533,20.1683,1/23/2020,0,0,0,0,Europe
264,,Algeria,28.0339,1.6596,1/23/2020,0,0,0,0,Africa
265,,Andorra,42.5063,1.5218,1/23/2020,0,0,0,0,Europe
266,,Angola,-11.2027,17.8739,1/23/2020,0,0,0,0,Africa
267,,Antigua and Barbuda,17.0608,-61.7964,1/23/2020,0,0,0,0,Americas
268,,Argentina,-38.4161,-63.6167,1/23/2020,0,0,0,0,Americas
269,,Armenia,40.0691,45.0382,1/23/2020,0,0,0,0,Europe
270,Australian Capital Territory,Australia,-35.4735,149.0124,1/23/2020,0,0,0,0,Western Pacific
271,New South Wales,Australia,-33.8688,151.2093,1/23/2020,0,0,0,0,Western Pacific
272,Northern Territory,Australia,-12.4634,130.8456,1/23/2020,0,0,0,0,Western Pacific
273,Queensland,Australia,-27.4698,153.0251,1/23/2020,0,0,0,0,Western Pacific
274,South Australia,Australia,-34.9285,138.6007,1/23/2020,0,0,0,0,Western Pacific
275,Tasmania,Australia,-42.8821,147.3272,1/23/2020,0,0,0,0,Western Pacific
276,Victoria,Australia,-37.8136,144.9631,1/23/2020,0,0,0,0,Western Pacific
277,Western Australia,Australia,-31.9505,115.8605,1/23/2020,0,0,0,0,Western Pacific
278,,Austria,47.5162,14.5501,1/23/2020,0,0,0,0,Europe
279,,Azerbaijan,40.1431,47.5769,1/23/2020,0,0,0,0,Europe
280,,Bahamas,25.025885,-78.035889,1/23/2020,0,0,0,0,Americas
281,,Bahrain,26.0275,50.55,1/23/2020,0,0,0,0,Eastern Mediterranean
282,,Bangladesh,23.685,90.3563,1/23/2020,0,0,0,0,South-East Asia
283,,Barbados,13.1939,-59.5432,1/23/2020,0,0,0,0,Americas
284,,Belarus,53.7098,27.9534,1/23/2020,0,0,0,0,Europe
285,,Belgium,50.8333,4.469936,1/23/2020,0,0,0,0,Europe
286,,Benin,9.3077,2.3158,1/23/2020,0,0,0,0,Africa
287,,Bhutan,27.5142,90.4336,1/23/2020,0,0,0,0,South-East Asia
288,,Bolivia,-16.2902,-63.5887,1/23/2020,0,0,0,0,Americas
289,,Bosnia and Herzegovina,43.9159,17.6791,1/23/2020,0,0,0,0,Europe
290,,Brazil,-14.235,-51.9253,1/23/2020,0,0,0,0,Americas
291,,Brunei,4.5353,114.7277,1/23/2020,0,0,0,0,Western Pacific
292,,Bulgaria,42.7339,25.4858,1/23/2020,0,0,0,0,Europe
293,,Burkina Faso,12.2383,-1.5616,1/23/2020,0,0,0,0,Africa
294,,Cabo Verde,16.5388,-23.0418,1/23/2020,0,0,0,0,Africa
295,,Cambodia,11.55,104.9167,1/23/2020,0,0,0,0,Western Pacific
296,,Cameroon,3.848,11.5021,1/23/2020,0,0,0,0,Africa
297,Alberta,Canada,53.9333,-116.5765,1/23/2020,0,0,0,0,Americas
298,British Columbia,Canada,53.7267,-127.6476,1/23/2020,0,0,0,0,Americas
299,Manitoba,Canada,53.7609,-98.8139,1/23/2020,0,0,0,0,Americas
300,New Brunswick,Canada,46.5653,-66.4619,1/23/2020,0,0,0,0,Americas
301,Newfoundland and Labrador,Canada,53.1355,-57.6604,1/23/2020,0,0,0,0,Americas
302,Nova Scotia,Canada,44.682,-63.7443,1/23/2020,0,0,0,0,Americas
303,Ontario,Canada,51.2538,-85.3232,1/23/2020,0,0,0,0,Americas
304,Prince Edward Island,Canada,46.5107,-63.4168,1/23/2020,0,0,0,0,Americas
305,Quebec,Canada,52.9399,-73.5491,1/23/2020,0,0,0,0,Americas
306,Saskatchewan,Canada,52.9399,-106.4509,1/23/2020,0,0,0,0,Americas
307,,Central African Republic,6.6111,20.9394,1/23/2020,0,0,0,0,Africa
308,,Chad,15.4542,18.7322,1/23/2020,0,0,0,0,Africa
309,,Chile,-35.6751,-71.543,1/23/2020,0,0,0,0,Americas
310,Anhui,China,31.8257,117.2264,1/23/2020,9,0,0,9,Western Pacific
311,Beijing,China,40.1824,116.4142,1/23/2020,22,0,0,22,Western Pacific
312,Chongqing,China,30.0572,107.874,1/23/2020,9,0,0,9,Western Pacific
313,Fujian,China,26.0789,117.9874,1/23/2020,5,0,0,5,Western Pacific
314,Gansu,China,35.7518,104.2861,1/23/2020,2,0,0,2,Western Pacific
315,Guangdong,China,23.3417,113.4244,1/23/2020,32,0,2,30,Western Pacific
316,Guangxi,China,23.8298,108.7881,1/23/2020,5,0,0,5,Western Pacific
317,Guizhou,China,26.8154,106.8748,1/23/2020,3,0,0,3,Western Pacific
318,Hainan,China,19.1959,109.7453,1/23/2020,5,0,0,5,Western Pacific
319,Hebei,China,39.549,116.1306,1/23/2020,1,1,0,0,Western Pacific
320,Heilongjiang,China,47.862,127.7615,1/23/2020,2,0,0,2,Western Pacific
321,Henan,China,37.8957,114.9042,1/23/2020,5,0,0,5,Western Pacific
322,Hong Kong,China,22.3,114.2,1/23/2020,2,0,0,2,Western Pacific
323,Hubei,China,30.9756,112.2707,1/23/2020,444,17,28,399,Western Pacific
324,Hunan,China,27.6104,111.7088,1/23/2020,9,0,0,9,Western Pacific
325,Inner Mongolia,China,44.0935,113.9448,1/23/2020,0,0,0,0,Western Pacific
326,Jiangsu,China,32.9711,119.455,1/23/2020,5,0,0,5,Western Pacific
327,Jiangxi,China,27.614,115.7221,1/23/2020,7,0,0,7,Western Pacific
328,Jilin,China,43.6661,126.1923,1/23/2020,1,0,0,1,Western Pacific
329,Liaoning,China,41.2956,122.6085,1/23/2020,3,0,0,3,Western Pacific
330,Macau,China,22.1667,113.55,1/23/2020,2,0,0,2,Western Pacific
331,Ningxia,China,37.2692,106.1655,1/23/2020,1,0,0,1,Western Pacific
332,Qinghai,China,35.7452,95.9956,1/23/2020,0,0,0,0,Western Pacific
333,Shaanxi,China,35.1917,108.8701,1/23/2020,3,0,0,3,Western Pacific
334,Shandong,China,36.3427,118.1498,1/23/2020,6,0,0,6,Western Pacific
335,Shanghai,China,31.202,121.4491,1/23/2020,16,0,0,16,Western Pacific
336,Shanxi,China,37.5777,112.2922,1/23/2020,1,0,0,1,Western Pacific
337,Sichuan,China,30.6171,102.7103,1/23/2020,8,0,0,8,Western Pacific
338,Tianjin,China,39.3054,117.323,1/23/2020,4,0,0,4,Western Pacific
339,Tibet,China,31.6927,88.0924,1/23/2020,0,0,0,0,Western Pacific
340,Xinjiang,China,41.1129,85.2401,1/23/2020,2,0,0,2,Western Pacific
341,Yunnan,China,24.974,101.487,1/23/2020,2,0,0,2,Western Pacific
342,Zhejiang,China,29.1832,120.0934,1/23/2020,27,0,0,27,Western Pacific
343,,Colombia,4.5709,-74.2973,1/23/2020,0,0,0,0,Americas
